id,name,image,description,uses,how_to_get,item_type,game_id,cap
gold_uncap_crystal,Gold Uncap Crystal,gold_uncap_crystal.png,A gold gem capable of tapping into hidden potential. Uncaps an SR Support Card.,Limit Breaking an SR Support Card once (アイテム tab on the uncap screen),Limited events|Combining 20 Gold Limit Break Fragments,,145,able of tapping into hidden potential. Uncaps an SR Support Card. ID: 145 {item_cap} 99
rainbow_crystal_shard,Rainbow Crystal Shard,rainbow_crystal_shard.png,Fragments of a rainbow gem capable of tapping into hidden potential. Can be exchanged at the shop for a Rainbow Uncap Crystal.,Combining to create Rainbow Limit Break Crystals (20 fragments for 1 crystal),Limited events,,149,able of tapping into hidden potential. Can be exchanged at the shop for a Rainbow Uncap Crystal. ID: 149 {item_cap} 99
gold_crystal_shard,Gold Crystal Shard,gold_crystal_shard.png,Fragments of a gold gem capable of tapping into hidden potential. Can be exchanged at the shop for a Gold Uncap Crystal.,Combining to create Gold Limit Break Crystals (20 fragments for 1 crystal),Limited events|Limited missions,,150,able of tapping into hidden potential. Can be exchanged at the shop for a Gold Uncap Crystal. ID: 150 {item_cap} 99
3_make_debut_scout_race_2,3★ Make Debut Scout Race 2,3_make_debut_scout_race_2.png,"A ticket that can be used for scouting Trainees released before Oct 31, 2025. Can be used from the scout list.","One pull from the ★3 guaranteed ""Make Debut 2R"" character gacha",Limited events|Promo codes,,152,
ssr_make_debut_scout_race_2,SSR Make Debut Scout Race 2,ssr_make_debut_scout_race_2.png,"A ticket that can be used for scouting Support Cards released before Oct 31, 2025. Can be used from the scout list.","One pull from the SSR guaranteed ""Make Debut 2R"" support card gacha",Mission reward|Promo codes|Limited events,,153,
2_make_debut_scout_race_2,2★+ Make Debut Scout Race 2,2_make_debut_scout_race_2.png,"A ticket that can be used for scouting Trainees released before Oct 31, 2025. Can be used from the scout list.","One pull from the ★2 or above guaranteed ""Make Debut 2R"" character gacha",Limited events,,154,
sr_make_debut_scout_race_2,SR+ Make Debut Scout Race 2,sr_make_debut_scout_race_2.png,"A ticket that can be used for scouting Support Cards released before Oct 31, 2025. Can be used from the scout list.","One pull from the SR or above guaranteed ""Make Debut 2R"" support card gacha",Limited events,,155,
test_coins,Test Coins,test_coins.png,A token granted for passing a Trainer Aptitude Test. Can be exchanged at the shop for various items.,Trial coin shop exchange,Playing during Trainer's Proficiency Exam events,,156,
carnival_pts,Carnival Pts,carnival_pts.png,Obtained by participating in the Racing Carnival. Can be exchanged at the shop for various items.,Carnival point shop exchange,Playing during Racing Carnival events,,159,
book_of_hints,Book of Hints,book_of_hints.png,A book with tips on running. Contributes to Hint Level.,Raising the Hint Level of a normal skill for a character,Bought with Friend Points|Limited events,,160,
textbook_of_hints,Textbook of Hints,textbook_of_hints.png,A comprehensive textbook on running. Contributes to Hint Level.,Raising the Hint Level of a normal skill for a character,Bought with Friend Points|Limited events,,161,
rare_book_of_hints,Rare Book of Hints,rare_book_of_hints.png,A lengthy book with tips on running. Contributes to Hint Level.,Raising the Hint Level of a rare skill for a character,Bought with Friend Points|Mission reward|Limited events,,162,
rare_textbook_of_hints,Rare Textbook of Hints,rare_textbook_of_hints.png,A lengthy and comprehensive textbook on running. Contributes to Hint Level.,Raising the Hint Level of a rare skill for a character,Bought with Friend Points|Mission reward|Limited events,,163,
1st_anniversary_3_voucher,1st Anniversary 3★ Voucher,1st_anniversary_3_voucher.png,Can be exchanged for a 3★ Trainee of your choice from the list.,Obtaining a ★3 character of your choice from the 1st Anniversary character pool,Limited purchase during the 1st anniversary,,164,
1st_anniversary_ssr_voucher,1st Anniversary SSR Voucher,1st_anniversary_ssr_voucher.png,Can be exchanged for an SSR Support Card of your choice from the list.,Obtaining an SSR support card of your choice from the 1st Anniversary support card pool,Limited purchase during the 1st anniversary,,165,
daily_legend_race_ticket,Daily Legend Race Ticket,daily_legend_race_ticket.png,Grants entry to a Daily Legend Race.,Participating in daily legend races,Automatically obtained at daily reset,,168,
adds_music_to_the_jukebox,Adds music to the Jukebox.,adds_music_to_the_jukebox.png,,Adding new songs to the lobby jukebox,Limited events,,170,
star_fruit,Star Fruit,star_fruit.png,A peculiar star-shaped fruit. Restores 30 TP.,30 TP refill,Limited Events,,174,
kawasaki_kinen_winner_s_sash,Kawasaki Kinen Winner's Sash,kawasaki_kinen_winner_s_sash.png,Proof of winning the dirt G1 Kawasaki Kinen. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Kawasaki Kinen race|Bought with Silver Horseshoes|Bought in Tazuna's Daily Shop,,175,
zen_nippon_junior_yushun_winner_s_sash,Zen-Nippon Junior Yushun Winner's Sash,zen_nippon_junior_yushun_winner_s_sash.png,Proof of winning the dirt G1 Zen-Nippon Junior Yushun. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Zen-Nippon Junior Yushun race|Bought in Tazuna's Daily Shop,,176,
kashiwa_kinen_winner_s_sash,Kashiwa Kinen Winner's Sash,kashiwa_kinen_winner_s_sash.png,Proof of winning the dirt G1 Kashiwa Kinen. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Kashiwa Kinen race|Bought with Friend Points|Bought in Tazuna's Daily Shop,,177,
1_5_year_anniversary_ssr_voucher,1.5-Year Anniversary SSR Voucher,1_5_year_anniversary_ssr_voucher.png,Can be exchanged for an SSR Support Card of your choice from the list.,Obtaining an SSR support card of your choice from the 1.5th Anniversary support card pool,Mission reward|Limited purchase during the 1.5th anniversary,,178,
m_c_nambu_hai_winner_s_sash,M.C. Nambu Hai Winner's Sash,m_c_nambu_hai_winner_s_sash.png,Proof of winning the dirt G1 M.C. Nambu Hai. Can be used to raise Potential Level.,Raising the awakening level of a character,Winning the Mile CS Nambu Hai race|Bought with Circle Points|Bought in Tazuna's Daily Shop,,179,
ornament,Ornament,ornament.png,Ornaments used to decorate the tree in Sparkly Magic Show.,Earning various rewards from the KIRARA MAGIC SHOW event,Playing during the KIRARA MAGIC SHOW event,,189,
gallery_key,Gallery Key,gallery_key.png,A key that can be used in the Archive's Gallery to unlock your memories with an Umamusume.,Unlocking entries in the horsegirl directory,Bought with Friend Points,,190,
3_make_debut_scout_race_3,3★ Make Debut Scout Race 3,3_make_debut_scout_race_3.png,"A ticket that can be used for scouting Trainees released before Nov 9, 2026. Can be used from the Scout list.","One pull from the ★3 guaranteed ""Make Debut 3R"" character gacha",Promo codes,,191,
ssr_make_debut_scout_race_3,SSR Make Debut Scout Race 3,ssr_make_debut_scout_race_3.png,"A ticket that can be used for scouting Support Cards released before Nov 9, 2026. Can be used from the Scout list.","One pull from the SSR guaranteed ""Make Debut 3R"" character gacha",Promo codes,,192,
2_make_debut_scout_race_3,2★+ Make Debut Scout Race 3,2_make_debut_scout_race_3.png,"A ticket that can be used for scouting Trainees released before Nov 9, 2026. Can be used from the Scout list.","One pull from the ★2 or above guaranteed ""Make Debut 3R"" character gacha",Limited events,,193,
sr_make_debut_scout_race_3,SR+ Make Debut Scout Race 3,sr_make_debut_scout_race_3.png,"A ticket that can be used for scouting Support Cards released before Nov 9, 2026. Can be used from the Scout list.","One pull from the SR or above guaranteed ""Make Debut 3R"" character gacha",Limited events,,194,
spark_research_report,Spark Research Report,spark_research_report.png,A Spark research report created by Agnes Tachyon. Can be used for Spark Enhancement.,"Raising the number of stars for a Stat, Aptitude or Unique Skill spark by one (maximum 3)","Playing during ""Agnes Tachyon's Spark Research"" events",,195,
2nd_anniversary_3_voucher,2nd Anniversary 3★ Voucher,2nd_anniversary_3_voucher.png,Can be exchanged for a 3★ Trainee of your choice from the list.,Obtaining a ★3 character of your choice from the 2nd Anniversary character pool (all up to Dec 31 2022),Limited purchase during the 2nd anniversary,,196,
2nd_anniversary_ssr_voucher,2nd Anniversary SSR Voucher,2nd_anniversary_ssr_voucher.png,Can be exchanged for an SSR Support Card of your choice from the list.,Obtaining an SSR support card of your choice from the 2nd Anniversary support card pool (all up to Dec 31 2022),Limited purchase during the 2nd anniversary,,197,
entry_ticket,Entry Ticket,entry_ticket.png,A ticket for entry in the Champions Meeting. Does not carry over to the next event.,Participating in the first 2 rounds of the Champions Meeting,Automatically obtained at noon (server time) when the Champions Meeting is underway|Champions Meeting daily mission|Bought with carats,,198,
2_5th_anniversary_3_exchange_ticket,2.5th Anniversary ★3 Exchange Ticket,2_5th_anniversary_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,Obtaining a ★3 character of your choice from the 2.5th Anniversary character pool,Limited purchase during the 2.5th anniversary,,204,
2_5th_anniversary_ssr_exchange_ticket,2.5th Anniversary SSR Exchange Ticket,2_5th_anniversary_ssr_exchange_ticket.png,A voucher that can be exchanged for a SSR support card of your liking from a list.,Obtaining an SSR Support card of your choice from the 2.5th Anniversary support card pool,Limited purchase during the 2.5th anniversary,,205,
novice_trainer_support_3_exchange_ticket,Novice Trainer Support ★3 Exchange Ticket,novice_trainer_support_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,Obtaining a ★3 character of your choice,Limited purchase,,206,
novice_trainer_support_ssr_exchange_ticket,Novice Trainer Support SSR Exchange Ticket,novice_trainer_support_ssr_exchange_ticket.png,A voucher that can be exchanged for an SSR support card of your liking from a list.,Obtaining an SSR support card of your choice,Limited purchase,,207,
3_5th_wish_gaze_gacha,★3 5th WISH&GAZE Gacha,3_5th_wish_gaze_gacha.png,"A ticket to pull from the ""★3 5th WISH&GAZE"" banner with, including the characters that appeared during the WISH and GAZE concerts and were released by 2023/09/20. Usable at the Gacha menu.","One pull from the ★3 guaranteed ""5th WISH&GAZE"" character gacha",Promo codes,,209,
anime_season_3_celebration_3_exchange_ticket,Anime Season 3 Celebration ★3 Exchange Ticket,anime_season_3_celebration_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,"Obtaining a ★3 character of your choice from the ""Anime Season 3 Celebration"" character pool",Limited purchase between the 1st January 2024 and the 29th February 2024,,210,
support_card_exchange_ticket,Support Card Exchange Ticket,support_card_exchange_ticket.png,Mostly received as part of the Training Pass,Exchanging for an SSR card of your liking from a given list in the Support Card Exchange shop,Raising your level in the Training Pass,,211,
3rd_anniversary_3_exchange_ticket,3rd Anniversary ★3 Exchange Ticket,3rd_anniversary_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,Obtaining a ★3 character of your choice from the 3rd Anniversary character pool,Limited purchase during the 3rd Anniversary,,213,
3rd_anniversary_ssr_exchange_ticket,3rd Anniversary SSR Exchange Ticket,3rd_anniversary_ssr_exchange_ticket.png,A voucher that can be exchanged for an SSR support card of your liking from a list.,Obtaining an SSR support card of your choice from the 3rd Anniversary support card pool,Limited purchase during the 3rd Anniversary,,214,
3_5th_yell_new_gate_gacha_ticket,★3 5th YELL&NEW GATE Gacha Ticket,3_5th_yell_new_gate_gacha_ticket.png,"A ticket to pull from the ""★3 5th YELL&NEW GATE"" banner with, including the characters that appeared during the YELL and NEW GATE concerts and were released by 2024/3/21. Usable at the Gacha menu.","One pull from the ★3 guaranteed ""5th YELL&NEW GATE"" character gacha",Promo codes,,215,
umabako_3_3_exchange_ticket,Umabako 3 ★3 Exchange Ticket,umabako_3_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,Obtaining a ★3 character of your choice from the Umabako 3 character pool,Redeeming promo codes of all 4 blu-rays of the Uma Musume anime (season 3),,216,
3_make_debut_gacha_4r,★3 Make Debut Gacha 4R,3_make_debut_gacha_4r.png,"A ticket to pull from the ★3 guaranteed ""Make Debut 4R"" character gacha with. Usable at the gacha menu.","One pull from the ★3 guaranteed ""Make Debut 4R"" character gacha",Promo codes,,218,
ssr_make_debut_gacha_4r,SSR Make Debut Gacha 4R,ssr_make_debut_gacha_4r.png,"A ticket to pull from the SSR guaranteed ""Make Debut 4R"" character gacha with. Usable at the gacha menu.","One pull from the SSR guaranteed ""Make Debut 4R"" character gacha",Promo codes,,219,
2_make_debut_gacha_4r,★2 Make Debut Gacha 4R,2_make_debut_gacha_4r.png,"A ticket to pull from the ★2 or above guaranteed ""Make Debut 4R"" character gacha with. Usable at the gacha menu.","One pull from the ★2 or above guaranteed ""Make Debut 4R"" character gacha",Scenario record rewards|Limited events,,220,
sr_make_debut_gacha_4r,SR Make Debut Gacha 4R,sr_make_debut_gacha_4r.png,"A ticket to pull from the SR or above guaranteed ""Make Debut 4R"" character gacha with. Usable at the gacha menu.","One pull from the SR or above guaranteed ""Make Debut 4R"" character gacha",Scenario record rewards|Limited events,,221,
space_journey_juice,Space Journey Juice,space_journey_juice.png,Deluxe juice treasured throughout the galaxy.,30 TP refill,Limited event,,222,
kfc_original_bucket,KFC Original Bucket,kfc_original_bucket.png,"A bucket filled with lots of fried chicken, flavored with the legendary seven spices and herbs.",100 TP refill,Limited event,,223,
summer_heat_refresher,Summer Heat Refresher,summer_heat_refresher.png,Drinks to gather during the UMA Summer event.,Earning various rewards from the UMA Summer event,Playing during the UMA Summer event,,230,
circle_points,Circle Points,circle_points.png,Proof of the unity of your circle.,Circle point shop exchange,Contributing to item requests within Circles|Have other trainers borrow your representative horsegirl|Completing daily missions,,231,
kfc_biscuit,KFC Biscuit,kfc_biscuit.png,A biscuit with a crispy outside and an inside filled with honey maple syrup.,5 RP refill,Limited event,,233,
3_make_debut_gacha_5r,★3 Make Debut Gacha 5R,3_make_debut_gacha_5r.png,"A ticket to pull from the ★3 guaranteed ""Make Debut 5R"" character gacha with. Usable at the gacha menu.","One pull from the ★3 guaranteed ""Make Debut 5R"" character gacha",Promo codes,,234,
ssr_make_debut_gacha_5r,SSR Make Debut Gacha 5R,ssr_make_debut_gacha_5r.png,"A ticket to pull from the SSR guaranteed ""Make Debut 5R"" character gacha with. Usable at the gacha menu.","One pull from the SSR guaranteed ""Make Debut 5R"" character gacha",Promo codes,,235,
2_make_debut_gacha_5r,★2 Make Debut Gacha 5R,2_make_debut_gacha_5r.png,"A ticket to pull from the ★2 or above guaranteed ""Make Debut 5R"" character gacha with. Usable at the gacha menu.","One pull from the ★2 or above guaranteed ""Make Debut 5R"" character gacha",Scenario record rewards|Limited events,,236,
sr_make_debut_gacha_5r,SR Make Debut Gacha 5R,sr_make_debut_gacha_5r.png,"A ticket to pull from the SR or above guaranteed ""Make Debut 5R"" character gacha with. Usable at the gacha menu.","One pull from the SR or above guaranteed ""Make Debut 5R"" character gacha",Scenario record rewards|Limited events,,237,
3_5th_anniversary_3_exchange_ticket,3.5th Anniversary ★3 Exchange Ticket,3_5th_anniversary_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,Obtaining a ★3 character of your choice from the 3.5th Anniversary character pool,Limited purchase during the 3.5th Anniversary,,254,
3_5th_anniversary_ssr_exchange_ticket,3.5th Anniversary SSR Exchange Ticket,3_5th_anniversary_ssr_exchange_ticket.png,A voucher that can be exchanged for an SSR support card of your liking from a list.,Obtaining an SSR support card of your choice from the 3.5th Anniversary support card pool,Limited purchase during the 3.5th Anniversary,,255,
hall_of_fame_capacity_increase,Hall of Fame Capacity Increase,hall_of_fame_capacity_increase.png,A larger hall makes for a larger race!,Increase the capacity of the Hall of Fame by 5 for 30 carats each,Bought in the Hall of Fame menu,,256,acity Increase A larger hall makes for a larger race! ID: 256 {item_cap} – Uses: Increase the capacity of the Hall of Fame by 5 for 30 carats each How to get: Bought in the Hall of Fame menu
3_5th_wish_gacha_ticket,★3 5th -WISH- Gacha Ticket,3_5th_wish_gacha_ticket.png,"A ticket to pull from the ""★3 5th EVENT WISH"" banner with, including the characters that appeared during the -WISH- concert and were released by 2023/7/10. Usable at the Gacha menu.","One pull from the ★3 guaranteed ""5th EVENT WISH"" character gacha",Promo codes,,258,
3_5th_gaze_gacha_ticket,★3 5th -GAZE- Gacha Ticket,3_5th_gaze_gacha_ticket.png,"A ticket to pull from the ""★3 5th EVENT GAZE"" banner with, including the characters that appeared during the -GAZE- concert and were released by 2023/9/11. Usable at the Gacha menu.","One pull from the ★3 guaranteed ""5th EVENT GAZE"" character gacha",Promo codes,,259,
hat_sable,Hat-Sablé,hat_sable.png,Confectionary super popular in BoCity! It'll blow your hat off!,30 TP refill,Limited event,,264,
3_guaranteed_beginning_of_a_new_era_gacha,"★3 Guaranteed ""BEGINNING OF A NEW ERA"" Gacha",3_guaranteed_beginning_of_a_new_era_gacha.png,"A ★3 Guaranteed Gacha Ticket commemorating the ""BEGINNING OF A NEW ERA"" movie, featuring all characters up to the 31st December 2024","One pull from the ★3 guaranteed ""BEGINNING OF A NEW ERA"" character gacha","Buying the ""BEGINNING OF A NEW ERA"" Blu-Ray",,265,
2th_anniversary_3_exchange_ticket,2th Anniversary ★3 Exchange Ticket,2th_anniversary_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,Obtaining a ★3 character of your choice from the 4th Anniversary character pool,Limited purchase during the 4th anniversary,,270,
4th_anniversary_ssr_exchange_ticket,4th Anniversary SSR Exchange Ticket,4th_anniversary_ssr_exchange_ticket.png,A voucher that can be exchanged for an SSR support card of your liking from a list.,Obtaining an SSR support card of your choice from the 4th Anniversary support card pool,Limited purchase during the 4th anniversary,,271,
3_5th_yell_gacha_ticket,★3 5th -YELL- Gacha Ticket,3_5th_yell_gacha_ticket.png,"A ticket to pull from the ""★3 5th YELL"" banner with, including the characters that appeared during the YELL concert and were released by 2024/1/31. Usable at the Gacha menu.","One pull from the ★3 guaranteed ""5th YELL"" character gacha",Promo codes,,273,
3_5th_new_gate_gacha_ticket,★3 5th -NEW GATE- Gacha Ticket,3_5th_new_gate_gacha_ticket.png,"A ticket to pull from the ""★3 5th NEW GATE"" banner with, including the characters that appeared during the NEW GATE concert and were released by 2024/3/21. Usable at the Gacha menu.","One pull from the ★3 guaranteed ""5th NEW GATE"" character gacha",Promo codes,,274,
cinderella_gray_anime_3_exchange_ticket,"""Cinderella Gray"" Anime ★3 Exchange Ticket",cinderella_gray_anime_3_exchange_ticket.png,A voucher that can be exchanged for a ★3 character of your liking from a list.,Obtaining a ★3 character of your choice from a list.,Limited purchase,,278,
scout_points,Scout Points,scout_points.png,Obtained by participating in the Aim for the Stars! Dream Team Scout Race. Used to scout team members.,"Recruiting new team members in the ""Aim for the Strongest Team!"" event","Participating in scouting races during the ""Aim for the Strongest Team!"" event",,1001,
scout_race_ticket,Scout Race Ticket,scout_race_ticket.png,A ticket for entry in the Aim for the Stars! Dream Team Scout Race. Does not carry over to the next event.,"Participate in scouting races during the ""Aim for the Strongest Team!"" event","Daily reset during the ""Aim for the Strongest Team!"" event|Limited Mission reward|Consuming Carrot Jelly during the ""Aim for the Strongest Team!"" event",,2001,
league_ticket,League Ticket,league_ticket.png,A ticket for entry in a League of Heroes race. Does not carry over to the next event.,Participating in Main Stage races of the League of Heroes,Automatically obtained at noon (server time) when the League of Heroes is underway,,3001,
spark_strenghtening_report,Spark Strenghtening Report,spark_strenghtening_report.png,A paper on the spark of horsegirls.,"Raising the number of stars for a Stat, Aptitude or Unique Skill spark by one (maximum 3)",Limited purchase,,5001,
